School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
School of Business and Tourism at Contreras Learni,19647330112029,Los Angeles Unified,75,401.0,400.0,403.0,7.0,9.33%
East Valley Senior High,19647330112037,Los Angeles Unified,82,397.0,404.0,415.0,12.0,14.63%
Arleta High,19647330112045,Los Angeles Unified,236,390.0,404.0,397.0,21.0,8.9%
Panorama High,19647330112052,Los Angeles Unified,103,413.0,421.0,411.0,13.0,12.62%
Bright Star Secondary Charter Academy,19647330112508,Los Angeles Unified,108,431.0,443.0,435.0,20.0,18.52%
Frederick Douglass Academy High,19647330112557,Los Angeles Unified,56,377.0,365.0,378.0,3.0,5.36%
Student Empowerment Academy,19647330112862,Los Angeles Unified,35,360.0,370.0,372.0,1.0,2.86%
Contreras Learning Center-Los Angeles School of Gl,19647330112870,Los Angeles Unified,63,386.0,397.0,378.0,3.0,4.76%
West Adams Preparatory High,19647330114850,Los Angeles Unified,208,391.0,405.0,385.0,13.0,6.25%
Magnolia Science Academy 3,19647330115030,Los Angeles Unified,46,407.0,433.0,418.0,6.0,13.04%
Magnolia Science Academy 2,19647330115212,Los Angeles Unified,23,446.0,457.0,427.0,6.0,26.09%
Discovery Charter Preparatory No. 2,19647330115253,Los Angeles Unified,72,365.0,371.0,373.0,3.0,4.17%
Alliance Media Arts and Entertainment Design High,19647330116509,Los Angeles Unified,70,371.0,384.0,375.0,4.0,5.71%
Edward R. Roybal Learning Center,19647330117051,Los Angeles Unified,151,418.0,409.0,408.0,21.0,13.91%
Helen Bernstein High,19647330117069,Los Angeles Unified,49,391.0,389.0,391.0,3.0,6.12%
APEX Academy,19647330117077,Los Angeles Unified,47,376.0,371.0,368.0,2.0,4.26%
Alliance Health Services Academy High,19647330117598,Los Angeles Unified,83,380.0,390.0,393.0,10.0,12.05%
Alliance Environmental Science and Technology High,19647330117606,Los Angeles Unified,102,430.0,423.0,444.0,21.0,20.59%
Magnolia Science Academy 4,19647330117622,Los Angeles Unified,24,409.0,407.0,405.0,2.0,8.33%
Contreras Learning Center-Academic Leadership Comm,19647330117721,Los Angeles Unified,57,384.0,412.0,390.0,4.0,7.02%
RFK Community Schools-Los Angeles High School of t,19647330117747,Los Angeles Unified,58,408.0,411.0,409.0,10.0,17.24%
Belmont SH-LA Teacher Preparatory Academy,19647330117754,Los Angeles Unified,32,331.0,359.0,339.0,1.0,3.13%
RFK Community Schools- for the Visual Arts and Hum,19647330117762,Los Angeles Unified,71,392.0,416.0,394.0,12.0,16.9%
New Millennium Secondary,19647330117911,Los Angeles Unified,44,387.0,378.0,388.0,3.0,6.82%
Alain Leroy Locke College Prep Academy,19647330118588,Los Angeles Unified,281,358.0,377.0,364.0,15.0,5.34%
Sun Valley High,19647330119651,Los Angeles Unified,30,391.0,408.0,385.0,3.0,10%
RFK Community Schools-New Open World Academy K-12,19647330119685,Los Angeles Unified,33,402.0,387.0,402.0,2.0,6.06%
RFK Community Schools-UCLA Community K-12,19647330119693,Los Angeles Unified,61,384.0,404.0,392.0,6.0,9.84%
Ramon C. Cortines School of Visual and Performing,19647330119727,Los Angeles Unified,249,451.0,434.0,446.0,73.0,29.32%
Felicitas and Gonzalo Mendez High,19647330119966,Los Angeles Unified,58,390.0,396.0,382.0,6.0,10.34%
New Designs Charter School-Watts,19647330120071,Los Angeles Unified,16,393.0,375.0,371.0,0.0,0%
Daniel Pearl Journalism & Communications Magnet,19647330120360,Los Angeles Unified,83,489.0,462.0,470.0,30.0,36.14%
RFK Community Schools-Ambassador-Global Leadership,19647330121095,Los Angeles Unified,40,419.0,406.0,412.0,9.0,22.5%
Alliance Cindy and Bill Simon Technology Academy H,19647330121285,Los Angeles Unified,97,382.0,395.0,364.0,7.0,7.22%
Alliance Tennenbaum Family Technology High,19647330121293,Los Angeles Unified,79,393.0,407.0,385.0,7.0,8.86%
Academy of Environmental & Social Policy (ESP) at,19647330122275,Los Angeles Unified,45,396.0,386.0,390.0,3.0,6.67%
"Math, Science, & Technology Magnet Academy at Roos",19647330122333,Los Angeles Unified,69,450.0,455.0,447.0,23.0,33.33%
East Los Angeles Performing Arts Academy at Esteba,19647330122341,Los Angeles Unified,80,375.0,375.0,378.0,4.0,5%
Humanitas Academy of Art and Technology at Esteban,19647330122358,Los Angeles Unified,65,382.0,377.0,386.0,5.0,7.69%
Social Justice Leadership Academy at Esteban E. To,19647330122366,Los Angeles Unified,79,364.0,357.0,371.0,1.0,1.27%
East Los Angeles Renaissance Academy at Esteban E.,19647330122374,Los Angeles Unified,56,404.0,393.0,388.0,5.0,8.93%
Engineering and Technology Academy at Esteban E. T,19647330122382,Los Angeles Unified,74,402.0,393.0,395.0,12.0,16.22%
PUC Triumph Charter High,19647330122598,Los Angeles Unified,0,,,,,null%
PUC Lakeview Charter High,19647330122606,Los Angeles Unified,89,380.0,395.0,390.0,6.0,6.74%
Aspire Pacific Academy,19647330122721,Los Angeles Unified,133,401.0,405.0,394.0,15.0,11.28%
Los Angeles Big Picture High,19647330122762,Los Angeles Unified,0,,,,,null%
Alliance College-Ready Academy High 16,19647330123141,Los Angeles Unified,92,382.0,387.0,378.0,8.0,8.7%
Valley Academy of Arts and Sciences,19647330124362,Los Angeles Unified,186,447.0,432.0,440.0,39.0,20.97%
"Cesar E. Chavez Learning Academies-Arts,Theatre, E",19647330124370,Los Angeles Unified,63,361.0,354.0,369.0,2.0,3.17%
Cesar E. Chavez Learning Academies-Social Justice,19647330124388,Los Angeles Unified,90,392.0,387.0,401.0,11.0,12.22%
Cesar E. Chavez Learning Academies-Academy of Scie,19647330124396,Los Angeles Unified,66,427.0,396.0,413.0,6.0,9.09%
Cesar E. Chavez Learning Academies-Teacher Prepara,19647330124404,Los Angeles Unified,50,402.0,389.0,401.0,4.0,8%
Los Angeles River at Sonia Sotomayor Learning Acad,19647330124412,Los Angeles Unified,62,390.0,379.0,383.0,4.0,6.45%
School of History and Dramatic Arts at Sonia Sotom,19647330124420,Los Angeles Unified,77,433.0,427.0,430.0,18.0,23.38%
Dr. Maya Angelou Community High,19647330124479,Los Angeles Unified,92,368.0,345.0,363.0,5.0,5.43%
Public Service Community at Diego Rivera Learning,19647330124487,Los Angeles Unified,38,383.0,389.0,406.0,2.0,5.26%
Communication and Technology at Diego Rivera Learn,19647330124495,Los Angeles Unified,55,384.0,387.0,373.0,3.0,5.45%
Green Design at Diego Rivera Learning Complex,19647330124503,Los Angeles Unified,49,370.0,375.0,375.0,1.0,2.04%
Performing Arts Community at Diego Rivera Learning,19647330124511,Los Angeles Unified,64,353.0,368.0,372.0,2.0,3.13%
Rancho Dominguez Preparatory,19647330124529,Los Angeles Unified,125,423.0,407.0,420.0,15.0,12%
Synergy Quantum Academy,19647330124560,Los Angeles Unified,113,425.0,412.0,419.0,24.0,21.24%
Animo College Preparatory Academy,19647330124883,Los Angeles Unified,49,350.0,343.0,359.0,1.0,2.04%
Alliance Renee and Meyer Luskin Academy High,19647330124891,Los Angeles Unified,92,372.0,402.0,364.0,6.0,6.52%
PUC Early College Academy for Leaders and Scholars,19647330124933,Los Angeles Unified,67,383.0,381.0,401.0,8.0,11.94%
Alliance Margaret M. Bloomfield Technology Academy,19647330124941,Los Angeles Unified,1,,,,,null%
Leadership in Entertainment and Media Arts (LEMA),19647330125963,Los Angeles Unified,33,361.0,346.0,354.0,0.0,0%
STEM Academy at Bernstein High,19647330125989,Los Angeles Unified,68,391.0,392.0,399.0,9.0,13.24%
Academy of Science and Engineering,19647330126185,Los Angeles Unified,4,,,,,null%
Augustus F. Hawkins High A Critical Design and Gam,19647330126482,Los Angeles Unified,50,361.0,356.0,354.0,0.0,0%
Augustus F. Hawkins High B Community Health Advoca,19647330126490,Los Angeles Unified,63,356.0,328.0,366.0,2.0,3.17%
Augustus F. Hawkins High C Responsible Indigenous,19647330126508,Los Angeles Unified,52,342.0,341.0,346.0,1.0,1.92%
Linda Esperanza Marquez High A Huntington Park Ins,19647330126516,Los Angeles Unified,45,428.0,405.0,431.0,7.0,15.56%
Linda Esperanza Marquez High B LIBRA Academy,19647330126524,Los Angeles Unified,82,427.0,427.0,410.0,15.0,18.29%
Linda Esperanza Marquez High C School of Social Ju,19647330126532,Los Angeles Unified,44,436.0,445.0,423.0,7.0,15.91%
"Science, Technology, Engineering, Arts and Mathema",19647330126540,Los Angeles Unified,17,384.0,382.0,383.0,1.0,5.88%
Visual and Performing Arts at Legacy High School C,19647330126557,Los Angeles Unified,19,392.0,379.0,386.0,1.0,5.26%
Academy for Multilingual Arts and Science at Mervy,19647330126573,Los Angeles Unified,28,366.0,350.0,377.0,0.0,0%
Academies of Education and Empowerment at Carson H,19647330126615,Los Angeles Unified,84,410.0,417.0,403.0,8.0,9.52%
Academy of Medical Arts at Carson High,19647330126623,Los Angeles Unified,115,417.0,431.0,417.0,15.0,13.04%
Humanities and Arts (HARTS) Academy of Los Angeles,19647330127787,Los Angeles Unified,25,446.0,421.0,425.0,2.0,8%
Contreras Learning Center-School of Social Justice,19647330127795,Los Angeles Unified,76,377.0,369.0,383.0,3.0,3.95%
Early College Academy-LA Trade Tech College,19647330127803,Los Angeles Unified,2,,,,,null%
Camino Nuevo High No. 2,19647330127910,Los Angeles Unified,0,,,,,null%
William Tell Aggeler Opportunity High,19647331930064,Los Angeles Unified,0,,,,,null%
Harris Newmark Continuation,19647331930296,Los Angeles Unified,1,,,,,null%
Whitney Young Continuation,19647331930403,Los Angeles Unified,1,,,,,null%
View Park Continuation,19647331930429,Los Angeles Unified,8,,,,,null%
Harold McAlister High (Opportunity),19647331930619,Los Angeles Unified,2,,,,,null%
Phineas Banning Senior High,19647331930650,Los Angeles Unified,309,405.0,424.0,408.0,40.0,12.94%
Thomas Riley High,19647331930692,Los Angeles Unified,2,,,,,null%
Angel's Gate (Continuation),19647331930734,Los Angeles Unified,1,,,,,null%
Bell Senior High,19647331930866,Los Angeles Unified,411,420.0,439.0,420.0,64.0,15.57%
Belmont Senior High,19647331930924,Los Angeles Unified,175,390.0,409.0,401.0,17.0,9.71%
John R. Wooden High,19647331930940,Los Angeles Unified,3,,,,,null%
Birmingham Community Charter High,19647331931047,Los Angeles Unified,327,433.0,428.0,433.0,60.0,18.35%
Albert Einstein Continuation,19647331931385,Los Angeles Unified,1,,,,,null%
Highland Park Continuation,19647331931393,Los Angeles Unified,2,,,,,null%
Jack London Continuation,19647331931450,Los Angeles Unified,1,,,,,null%
Canoga Park Senior High,19647331931476,Los Angeles Unified,124,442.0,429.0,426.0,22.0,17.74%
Mission Continuation,19647331931484,Los Angeles Unified,3,,,,,null%
Carson Senior High,19647331931526,Los Angeles Unified,135,438.0,431.0,432.0,28.0,20.74%
Chatsworth Charter High,19647331931708,Los Angeles Unified,238,458.0,455.0,446.0,71.0,29.83%
Valley Alternative Magnet,19647331931716,Los Angeles Unified,19,463.0,469.0,457.0,6.0,31.58%
Grover Cleveland Charter High,19647331931864,Los Angeles Unified,428,507.0,507.0,509.0,215.0,50.23%
"Crenshaw Science, Technology, Engineering, Math an",19647331932128,Los Angeles Unified,150,375.0,374.0,368.0,3.0,2%
Henry David Thoreau Continuation,19647331932250,Los Angeles Unified,1,,,,,null%
Susan Miller Dorsey Senior High,19647331932383,Los Angeles Unified,143,374.0,359.0,378.0,6.0,4.2%
Eagle Rock High,19647331932540,Los Angeles Unified,288,469.0,471.0,460.0,101.0,35.07%
El Camino Real Charter High,19647331932623,Los Angeles Unified,428,517.0,532.0,514.0,246.0,57.48%
Los Angeles Center for Enriched Studies,19647331932847,Los Angeles Unified,207,550.0,579.0,559.0,152.0,73.43%
Downtown Business High,19647331932888,Los Angeles Unified,195,475.0,505.0,464.0,73.0,37.44%
Fairfax Senior High,19647331932920,Los Angeles Unified,275,454.0,466.0,450.0,81.0,29.45%
John H. Francis Polytechnic,19647331932987,Los Angeles Unified,417,437.0,455.0,439.0,99.0,23.74%
King/Drew Medical Magnet High,19647331933001,Los Angeles Unified,275,447.0,451.0,458.0,78.0,28.36%
Benjamin Franklin Senior High,19647331933043,Los Angeles Unified,194,440.0,448.0,427.0,51.0,26.29%
John C. Fremont Senior High,19647331933118,Los Angeles Unified,227,386.0,388.0,383.0,16.0,7.05%
Sherman Oaks Center for Enriched Studies,19647331933233,Los Angeles Unified,200,517.0,521.0,525.0,117.0,58.5%
Gardena Senior High,19647331933241,Los Angeles Unified,132,421.0,400.0,417.0,18.0,13.64%
James A. Garfield Senior High,19647331933381,Los Angeles Unified,351,408.0,420.0,404.0,42.0,11.97%
Granada Hills Charter High,19647331933746,Los Angeles Unified,748,539.0,560.0,543.0,505.0,67.51%
Ulysses S. Grant Senior High,19647331933795,Los Angeles Unified,167,429.0,430.0,438.0,33.0,19.76%
Alexander Hamilton Senior High,19647331933852,Los Angeles Unified,459,482.0,462.0,481.0,176.0,38.34%
Hollywood Senior High,19647331934033,Los Angeles Unified,235,448.0,447.0,444.0,57.0,24.26%
Huntington Park Senior High,19647331934157,Los Angeles Unified,185,387.0,391.0,388.0,12.0,6.49%
Thomas Jefferson Senior High,19647331934371,Los Angeles Unified,127,368.0,377.0,373.0,6.0,4.72%
David Starr Jordan Senior High,19647331934454,Los Angeles Unified,46,402.0,394.0,389.0,3.0,6.52%
Abraham Lincoln Senior High,19647331935121,Los Angeles Unified,181,432.0,462.0,425.0,50.0,27.62%
Los Angeles Senior High,19647331935352,Los Angeles Unified,182,414.0,430.0,410.0,29.0,15.93%
Manual Arts Senior High,19647331935519,Los Angeles Unified,209,373.0,374.0,376.0,10.0,4.78%
John Marshall Senior High,19647331935568,Los Angeles Unified,365,490.0,493.0,485.0,164.0,44.93%
James Monroe High,19647331935865,Los Angeles Unified,225,438.0,430.0,437.0,55.0,24.44%
Nathaniel Narbonne Senior High,19647331936160,Los Angeles Unified,278,446.0,446.0,438.0,66.0,23.74%
North Hollywood Senior High,19647331936350,Los Angeles Unified,400,517.0,516.0,510.0,191.0,47.75%
Ramona Opportunity High,19647331937085,Los Angeles Unified,0,,,,,null%
Reseda Senior High,19647331937226,Los Angeles Unified,210,446.0,449.0,440.0,56.0,26.67%
Theodore Roosevelt Senior High,19647331937424,Los Angeles Unified,229,392.0,396.0,390.0,22.0,9.61%
San Fernando Senior High,19647331937622,Los Angeles Unified,238,416.0,436.0,413.0,41.0,17.23%
San Pedro Senior High,19647331937838,Los Angeles Unified,243,460.0,456.0,455.0,73.0,30.04%
South Gate Senior High,19647331938307,Los Angeles Unified,354,409.0,410.0,421.0,46.0,12.99%
Sylmar Senior High,19647331938554,Los Angeles Unified,276,411.0,417.0,406.0,32.0,11.59%
William Howard Taft Charter High,19647331938612,Los Angeles Unified,296,511.0,530.0,524.0,169.0,57.09%
University Senior High,19647331938885,Los Angeles Unified,248,457.0,462.0,456.0,81.0,32.66%
Van Nuys Senior High,19647331938968,Los Angeles Unified,340,518.0,539.0,511.0,194.0,57.06%
Venice Senior High,19647331939040,Los Angeles Unified,222,475.0,480.0,468.0,77.0,34.68%
Verdugo Hills Senior High,19647331939107,Los Angeles Unified,182,449.0,479.0,449.0,57.0,31.32%
George Washington Preparatory High,19647331939305,Los Angeles Unified,124,375.0,360.0,375.0,4.0,3.23%
WESM Health/Sports Medicine,19647331939479,Los Angeles Unified,158,445.0,425.0,435.0,36.0,22.78%
Woodrow Wilson Senior High,19647331939859,Los Angeles Unified,240,398.0,408.0,396.0,23.0,9.58%
John F. Kennedy High,19647331939941,Los Angeles Unified,227,434.0,440.0,432.0,46.0,20.26%
Francisco Bravo Medical Magnet High,19647331995448,Los Angeles Unified,369,477.0,485.0,474.0,137.0,37.13%
Los Angeles Unified Alternative Education,19647331995489,Los Angeles Unified,0,,,,,null%
Youth Opportunities Unlimited,19647331995794,Los Angeles Unified,1,,,,,null%
Palisades Charter High,19647331995836,Los Angeles Unified,452,531.0,538.0,525.0,262.0,57.96%
City of Angels,19647331996115,Los Angeles Unified,20,507.0,451.0,501.0,9.0,45%
Los Angeles Leadership Academy,19647331996610,Los Angeles Unified,33,418.0,426.0,425.0,6.0,18.18%
Elizabeth Learning Center,19647336016885,Los Angeles Unified,83,407.0,393.0,414.0,5.0,6.02%
Thirty-Second Street USC Performing Arts,19647336019475,Los Angeles Unified,58,447.0,442.0,442.0,11.0,18.97%
Vaughn Next Century Learning Center,19647336019715,Los Angeles Unified,87,459.0,444.0,446.0,22.0,25.29%
Robert Fulton College Preparatory,19647336058002,Los Angeles Unified,108,390.0,379.0,399.0,11.0,10.19%
Foshay Learning Center,19647336061451,Los Angeles Unified,164,438.0,442.0,453.0,43.0,26.22%
PUC Community Charter Middle and PUC Community Cha,19647336116750,Los Angeles Unified,0,,,,,null%
Magnolia Science Academy,19647336119945,Los Angeles Unified,55,475.0,501.0,470.0,23.0,41.82%
Marco Antonio Firebaugh High,19647740109538,Lynwood Unified,217,404.0,405.0,412.0,23.0,10.6%
Pathway Independent Study,19647740114777,Lynwood Unified,0,,,,,null%
Lynwood High,19647741935436,Lynwood Unified,259,400.0,406.0,403.0,24.0,9.27%
Canyon Oaks High,19647901935899,Monrovia Unified,13,390.0,363.0,397.0,0.0,0%
Monrovia High,19647901935923,Monrovia Unified,214,491.0,499.0,480.0,97.0,45.33%
Mountain Park,19647901996404,Monrovia Unified,13,489.0,441.0,468.0,4.0,30.77%
Applied Technology Center,19648080124552,Montebello Unified,83,422.0,411.0,420.0,12.0,14.46%
Schurr High,19648081930155,Montebello Unified,275,464.0,472.0,467.0,89.0,32.36%
Bell Gardens High,19648081930825,Montebello Unified,304,420.0,420.0,422.0,46.0,15.13%
Montebello High,19648081935998,Montebello Unified,243,427.0,451.0,435.0,52.0,21.4%
John H. Glenn High,19648401933647,Norwalk-La Mirada Unified,365,375.0,385.0,367.0,25.0,6.85%
La Mirada High,19648401934728,Norwalk-La Mirada Unified,463,439.0,436.0,437.0,106.0,22.89%
Norwalk High,19648401936467,Norwalk-La Mirada Unified,442,404.0,405.0,413.0,74.0,16.74%
El Camino High (Continuation),19648401936475,Norwalk-La Mirada Unified,69,324.0,314.0,321.0,0.0,0%
Antelope Valley Learning Academy,19648570112714,Palmdale Elementary,3,,,,,null%
Palmdale Aerospace Academy,19648570125377,Palmdale Elementary,1,,,,,null%
Guidance Charter,19648576119580,Palmdale Elementary,12,403.0,370.0,407.0,1.0,8.33%
Rancho del Mar High (Continuation),19648651933308,Palos Verdes Peninsula Unified,2,,,,,null%
Palos Verdes Peninsula High,19648651995588,Palos Verdes Peninsula Unified,485,594.0,635.0,607.0,411.0,84.74%
Palos Verdes High,19648651996552,Palos Verdes Peninsula Unified,251,565.0,583.0,564.0,198.0,78.88%
Paramount Alternative Education Center,19648730120378,Paramount Unified,0,,,,,null%
Paramount High,19648731936749,Paramount Unified,459,424.0,434.0,414.0,68.0,14.81%
Aveson Global Leadership Academy,19648810113464,Pasadena Unified,9,,,,,null%
CIS Academy,19648810117440,Pasadena Unified,4,,,,,null%
Learning Works,19648810118075,Pasadena Unified,3,,,,,null%
Blair High,19648811931062,Pasadena Unified,63,489.0,495.0,475.0,27.0,42.86%
Marshall Fundamental,19648811931674,Pasadena Unified,168,496.0,477.0,474.0,70.0,41.67%
John Muir High,19648811936103,Pasadena Unified,113,417.0,407.0,410.0,15.0,13.27%
Rose City High (Continuation),19648811936806,Pasadena Unified,9,,,,,null%
Pasadena High,19648811936822,Pasadena Unified,288,486.0,484.0,477.0,114.0,39.58%
School of Extended Educational Options,19649070115170,Pomona Unified,2,,,,,null%
Ganesha High,19649071933175,Pomona Unified,114,417.0,429.0,418.0,15.0,13.16%
Garey High,19649071933324,Pomona Unified,133,433.0,433.0,439.0,25.0,18.8%
Pomona High,19649071937028,Pomona Unified,196,409.0,410.0,412.0,28.0,14.29%
Diamond Ranch High,19649071995901,Pomona Unified,339,489.0,497.0,472.0,147.0,43.36%
Village Academy High School at Indian Hill,19649071996495,Pomona Unified,64,433.0,426.0,442.0,15.0,23.44%
Fremont Academy of Engineering and Design,19649076061634,Pomona Unified,27,451.0,433.0,433.0,6.0,22.22%
Palomares Academy of Health Science,19649076061642,Pomona Unified,22,424.0,441.0,388.0,4.0,18.18%
San Marino High,19649641937754,San Marino Unified,212,601.0,657.0,613.0,193.0,91.04%
Santa Monica High,19649801938000,Santa Monica-Malibu Unified,387,531.0,541.0,524.0,229.0,59.17%
Malibu High,19649801995737,Santa Monica-Malibu Unified,105,557.0,560.0,553.0,77.0,73.33%
South Pasadena Senior High,19650291938455,South Pasadena Unified,290,565.0,608.0,563.0,227.0,78.28%
Temple City High,19650521938679,Temple City Unified,362,545.0,600.0,556.0,267.0,73.76%
North High,19650601936277,Torrance Unified,243,490.0,525.0,490.0,126.0,51.85%
South High,19650601938356,Torrance Unified,354,540.0,577.0,548.0,248.0,70.06%
Torrance High,19650601938752,Torrance Unified,274,495.0,521.0,500.0,136.0,49.64%
West High,19650601939602,Torrance Unified,329,532.0,588.0,539.0,232.0,70.52%
California Virtual Academy @ Los Angeles,19650940112706,West Covina Unified,35,549.0,502.0,521.0,23.0,65.71%
Edgewood High,19650940122432,West Covina Unified,104,503.0,522.0,493.0,57.0,54.81%
Insight @ Los Angeles,19650940125393,West Covina Unified,19,453.0,437.0,425.0,4.0,21.05%
West Covina High,19650941939537,West Covina Unified,296,477.0,506.0,471.0,120.0,40.54%
California High,19651281931302,Whittier Union High,338,450.0,456.0,439.0,85.0,25.15%
La Serna High,19651281934868,Whittier Union High,410,486.0,488.0,470.0,158.0,38.54%
Pioneer High,19651281936889,Whittier Union High,176,410.0,451.0,422.0,26.0,14.77%
Santa Fe High,19651281937903,Whittier Union High,351,434.0,442.0,438.0,74.0,21.08%
Whittier High,19651281939701,Whittier Union High,224,450.0,452.0,442.0,55.0,24.55%
Sierra Vista High (Alternative),19651281995653,Whittier Union High,1,,,,,null%
Golden Valley High,19651360102459,William S. Hart Union High,245,504.0,510.0,500.0,117.0,47.76%
West Ranch High,19651360102475,William S. Hart Union High,395,530.0,554.0,539.0,268.0,67.85%
Mission View Public,19651360114439,William S. Hart Union High,10,,,,,null%
Santa Clarita Valley International,19651360117234,William S. Hart Union High,18,464.0,423.0,443.0,4.0,22.22%
"Albert Einstein Academy for Letters, Arts and Scie",19651360121731,William S. Hart Union High,0,,,,,null%
Canyon High,19651361931492,William S. Hart Union High,291,497.0,509.0,492.0,147.0,50.52%
Saugus High,19651361931740,William S. Hart Union High,280,535.0,541.0,518.0,174.0,62.14%
Learning Post High (Alternative),19651361932532,William S. Hart Union High,7,,,,,null%
William S. Hart High,19651361933902,William S. Hart Union High,287,523.0,534.0,510.0,161.0,56.1%
Bowman (Jereann) High (Continuation),19651361934421,William S. Hart Union High,1,,,,,null%
Valencia High,19651361995802,William S. Hart Union High,493,529.0,544.0,528.0,298.0,60.45%
Opportunities for Learning - Santa Clarita,19651361996263,William S. Hart Union High,18,492.0,439.0,489.0,8.0,44.44%
Academy of the Canyons,19651361996321,William S. Hart Union High,82,610.0,591.0,596.0,67.0,81.71%
Centennial High,19734371931567,Compton Unified,83,366.0,362.0,372.0,2.0,2.41%
Compton High,19734371931963,Compton Unified,146,394.0,378.0,394.0,11.0,7.53%
Dominguez High,19734371932326,Compton Unified,153,413.0,406.0,410.0,17.0,11.11%
Thurgood Marshall,19734371996057,Compton Unified,4,,,,,null%
Puente Hills High,19734451933316,Hacienda la Puente Unified,0,,,,,null%
La Puente High,19734451934801,Hacienda la Puente Unified,139,424.0,429.0,423.0,24.0,17.27%
Los Altos High,19734451935246,Hacienda la Puente Unified,276,471.0,475.0,464.0,92.0,33.33%
Glen A. Wilson High,19734451939834,Hacienda la Puente Unified,253,520.0,575.0,531.0,161.0,63.64%
William Workman High,19734451939925,Hacienda la Puente Unified,90,420.0,451.0,415.0,13.0,14.44%
iQ Academy California-Los Angeles,19734520120600,Rowland Unified,2,,,,,null%
Nogales High,19734521936228,Rowland Unified,176,442.0,470.0,436.0,46.0,26.14%
John A. Rowland High,19734521937564,Rowland Unified,317,535.0,597.0,541.0,221.0,69.72%
Diamond Bar High,19734601932862,Walnut Valley Unified,595,558.0,615.0,568.0,453.0,76.13%
Walnut High,19734601939149,Walnut Valley Unified,583,558.0,598.0,559.0,429.0,73.58%
Gabrielino High,19752911995810,San Gabriel Unified,282,522.0,557.0,518.0,176.0,62.41%
Options for Youth San Gabriel,19752911996016,San Gabriel Unified,26,474.0,413.0,455.0,5.0,19.23%
Del Mar High,19752911996081,San Gabriel Unified,1,,,,,null%
Assurance Learning Academy,19753090127100,Acton-Agua Dulce Unified,2,,,,,null%
Hope Charter Academy,19753090129742,Acton-Agua Dulce Unified,0,,,,,null%
Academy of Arts and Sciences: Los Angeles (9-12),19753090130781,Acton-Agua Dulce Unified,0,,,,,null%
SIATech Academy South,19753090131383,Acton-Agua Dulce Unified,0,,,,,null%
Vasquez High,19753091995786,Acton-Agua Dulce Unified,38,517.0,486.0,500.0,20.0,52.63%
Mira Costa High,19753331935808,Manhattan Beach Unified,415,571.0,584.0,577.0,338.0,81.45%
Redondo Union High,19753411937143,Redondo Beach Unified,391,526.0,540.0,520.0,238.0,60.87%
Redondo Shores High (Continuation),19753411995752,Redondo Beach Unified,1,,,,,null%
School of Arts and Enterprise,19756971996693,SBE - The School of Arts and Enterprise,40,453.0,427.0,473.0,10.0,25%
Century High,19757131930122,Alhambra Unified,2,,,,,null%
Alhambra High,19757131930163,Alhambra Unified,388,480.0,524.0,470.0,178.0,45.88%
Mark Keppel High,19757131934553,Alhambra Unified,436,521.0,595.0,526.0,289.0,66.28%
San Gabriel High,19757131937697,Alhambra Unified,339,475.0,535.0,473.0,159.0,46.9%
Independence High (Alternative),19757131995430,Alhambra Unified,1,,,,,null%
Lifeline Education Charter,19764970115725,SBE - Lifeline Education Charter,33,346.0,306.0,359.0,0.0,0%
Da Vinci Science,19768690119016,Wiseburn Unified,104,472.0,478.0,467.0,31.0,29.81%
Da Vinci Design,19768690119636,Wiseburn Unified,97,459.0,442.0,459.0,28.0,28.87%
Anahuacalmecac International University Preparator,19768850130799,SBE - Anahuacalmecac International Preparatory Hig,0,,,,,null%
Madera County Independent Academy,20102070117184,Madera County Office of Education,0,,,,,null%
Pioneer Technical Center,20102072030229,Madera County Office of Education,0,,,,,null%
Chowchilla Union High,20652012032357,Chowchilla Union High,87,443.0,440.0,439.0,16.0,18.39%
Madera South High,20652430110965,Madera Unified,264,414.0,417.0,414.0,27.0,10.23%
Sherman Thomas Charter High,20652430118950,Madera Unified,2,,,,,null%
Furman (Duane E.) High (Independent Study Program),20652432035640,Madera Unified,0,,,,,null%
Madera High,20652432035707,Madera Unified,214,453.0,455.0,455.0,64.0,29.91%
Liberty High,20755802030203,Golden Valley Unified,82,494.0,467.0,472.0,30.0,36.59%
Minarets High,20756060117010,Chawanakee Unified,36,516.0,469.0,472.0,15.0,41.67%
Minarets Charter High,20756060125021,Chawanakee Unified,26,492.0,453.0,463.0,8.0,30.77%
Chawanakee Academy,20756066114862,Chawanakee Unified,1,,,,,null%
Yosemite High,20764142030013,Yosemite Unified,64,516.0,524.0,500.0,39.0,60.94%
Evergreen High,20764142030104,Yosemite Unified,0,,,,,null%
Glacier High School Charter,20764142030237,Yosemite Unified,6,,,,,null%
Nova Education Center,21654172130045,Novato Unified,4,,,,,null%
Marin Oaks High,21654172132264,Novato Unified,1,,,,,null%
Novato High,21654172132272,Novato Unified,207,534.0,533.0,533.0,133.0,64.25%
San Marin High,21654172133056,Novato Unified,106,528.0,532.0,526.0,65.0,61.32%
San Rafael High,21654662133262,San Rafael City High,135,494.0,518.0,503.0,69.0,51.11%
Terra Linda High,21654662134005,San Rafael City High,148,522.0,518.0,529.0,85.0,57.43%
Tamiscal High (Alternative),21654822130078,Tamalpais Union High,27,574.0,554.0,559.0,23.0,85.19%
